vibration_amplitude_mm,vibration_frequency_hz,stress_mPa,strain_micro,concrete_age_years,ambient_temp_c,humidity_pct,maintenance_score,material_grade,foundation_settlement_mm,load_ratio,failure_risk,material_grade_encoded,failure_risk_encoded,stress_capacity_ratio,vibration_severity_index,maintenance_decay_index,settlement_load_interaction,environmental_exposure_index,age_group_encoded
5.61,53.67,82.75,2391.6,1.9,9.5,88.0,9,M20,11.39,0.9,High,0,0,4.1375,301.09,0.209,10.251,25.96,0
6.51,6.76,19.19,1941.12,44.9,1.0,83.8,6,M20,17.47,0.35,Low,0,1,0.9595,44.01,7.361,6.114,17.6,2
6.62,98.64,15.3,2967.65,66.6,-1.4,81.8,8,M30,1.7,0.79,Low,1,1,0.51,653.0,8.222,1.343,15.21,2
9.21,99.33,12.26,2689.93,50.6,46.7,75.9,8,M40,9.64,0.99,Low,2,1,0.3065,914.83,6.247,9.544,50.63,2
14.15,70.97,82.3,298.21,73.7,49.2,67.5,3,M20,7.39,0.38,High,0,0,4.115,1004.23,23.774,2.808,46.71,2
3.65,43.02,21.46,3478.6891000000005,5.7,-7.3,70.9,4,M50,0.42,0.97,Low,3,1,0.4292,157.02,1.39,0.407,9.0,0
1.87,96.17,40.38,2658.17,67.8,-1.0,80.5,6,M30,4.9,0.35,Low,1,1,1.346,179.84,11.115,1.715,15.3,2
3.0,67.01,43.15,3037.27,61.2,15.4,69.7,2,M30,9.9,0.88,Medium,1,2,1.4383,201.03,29.143,8.712,24.67,2
13.31,99.29,55.92,2314.07,24.3,1.2,44.6,7,M20,4.94,0.76,High,0,0,2.796,1321.55,3.423,3.754,9.46,1
9.7,76.14,11.1,3011.37,73.0,11.8,48.2,2,M20,15.06,0.53,Low,0,1,0.555,738.56,34.762,7.982,15.33,2
4.32,94.34,24.27,482.1,22.3,-2.3,87.3,5,M40,11.22,0.32,Low,2,1,0.6068,407.55,4.373,3.59,15.45,1
12.25,72.23,84.18,1282.31,66.8,17.4,21.3,4,M20,0.99,1.01,High,0,0,4.209,884.82,16.293,1.0,7.97,2
12.93,50.28,82.21,3079.83,66.2,6.3,72.4,9,M40,6.88,0.62,Medium,2,2,2.0552,650.12,7.275,4.266,19.04,2
12.71,115.0,71.41,785.63,57.1,11.1,91.6,2,M30,0.49,0.3,Medium,1,2,2.3803,1461.65,27.19,0.147,28.49,2
13.79,65.39,6.65,366.02,42.7,-4.3,73.0,7,M40,8.95,1.05,Low,2,1,0.1662,901.73,6.014,9.397,11.46,2
3.82,73.01,32.8,2779.6,9.9,15.7,94.5,7,M40,6.48,0.46,Low,2,1,0.82,278.9,1.394,2.981,33.74,0
11.34,27.24,58.38,2940.65,40.4,49.0,71.6,7,M20,17.2,1.01,High,0,0,2.919,308.9,5.69,17.372,49.4,2
6.94,75.45,28.39,653.02,27.4,9.7,22.6,1,M30,7.69,0.82,Low,1,1,0.9463,523.62,24.909,6.306,6.71,1
12.64,69.02,82.31,3004.78,59.6,42.6,82.0,8,M20,9.38,0.41,High,0,0,4.1155,872.41,7.358,3.846,51.33,2
10.94,23.0,58.88,2435.01,57.1,40.6,41.3,2,M30,18.13,0.28,High,1,0,1.9627,251.62,27.19,5.076,25.03,2
11.66,8.09,11.11,1868.28,68.4,47.1,53.5,5,M20,12.02,0.85,Low,0,1,0.5555,94.33,13.412,10.217,35.9,2
9.86,72.92,82.27,2922.85,2.1,37.4,43.4,2,M30,13.91,0.23,High,1,0,2.7423,718.99,1.0,3.199,24.91,0
2.7,91.88,86.41,1525.45,60.9,29.6,40.1,5,M20,21.03,0.27,High,0,0,4.3205,248.08,11.941,5.678,19.89,2
8.2,63.28,11.61,759.58,70.4,41.4,52.4,7,M50,5.17,0.97,Low,3,1,0.2322,518.9,9.915,5.015,32.17,2
14.77,27.99,50.25,1068.5,59.4,-5.5,48.4,6,M30,24.73,0.79,Medium,1,2,1.675,413.41,9.738,19.537,7.02,2
14.06,80.32,30.79,1817.56,10.6,17.8,67.5,5,M50,22.5,0.56,Low,3,1,0.6158,1129.3,2.078,12.6,25.52,0
0.7,10.53,38.39,1906.52,7.0,49.4,81.0,4,M20,7.16,0.79,Medium,0,2,1.9195,7.37,1.707,5.656,56.21,0
2.51,53.58,20.27,2838.97,2.5,36.2,42.3,8,M30,22.32,0.85,Low,1,1,0.6757,134.49,0.309,18.972,23.77,0
2.02,20.44,54.14,2790.6,47.5,47.7,36.0,8,M30,18.85,0.82,Medium,1,2,1.8047,41.29,5.864,15.457,24.37,2
10.9,22.95,86.43,2076.65,47.6,36.8,70.0,1,M30,23.27,0.91,High,1,0,2.881,250.16,43.273,21.176,39.76,2
12.28,25.07,47.76,2754.67,74.0,42.5,70.3,10,M40,17.28,1.23,Medium,2,2,1.194,307.86,7.327,21.254,43.94,2
3.24,47.02,12.05,752.03,30.5,32.4,87.6,2,M50,16.86,0.63,Low,3,1,0.241,152.34,14.524,10.622,45.9,1
7.61,7.09,57.7,270.22,25.6,35.6,21.2,3,M20,0.13495,0.53,High,0,0,2.885,53.95,8.258,0.072,11.79,1
12.62,48.34,33.92,3070.35,47.2,21.4,84.0,1,M50,11.87,0.24,Low,3,1,0.6784,610.05,42.909,2.849,34.78,2
11.01,61.89,77.75,356.89,62.1,45.5,59.1,3,M40,5.01,0.36,Medium,2,2,1.9438,681.41,20.032,1.804,38.71,2
8.16,58.51,41.95,938.74,70.3,39.5,66.6,10,M50,8.1,0.32,Low,3,1,0.839,477.44,6.96,2.592,39.63,2
8.88,46.55,21.39,2464.08,60.4,40.6,26.9,8,M30,24.47,0.57,Low,1,1,0.713,413.36,7.457,13.948,16.3,2
7.65,100.86,21.24,1492.12,32.6,30.4,52.4,4,M50,2.14,0.87,Low,3,1,0.4248,771.58,7.951,1.862,26.41,1
4.5,18.29,70.34,3079.47,48.0,8.3,37.0,7,M40,18.06,0.25,Medium,2,2,1.7585,82.3,6.761,4.515,10.47,2
8.5,61.18,27.57,1113.13,64.4,-7.9,39.1,7,M20,4.32,1.0,Low,0,1,1.3785,520.03,9.07,4.32,4.73,2
10.35,8.38,70.21,140.36,37.3,46.1,57.8,5,M30,0.19,0.64,Medium,1,2,2.3403,86.73,7.314,0.122,38.21,1
13.11,9.47,22.5,1122.23,17.0,25.2,80.9,1,M20,12.54,1.26,Medium,0,2,1.125,124.15,15.455,15.8,36.57,1
9.56,69.29,32.34,2065.46,13.6,7.9,75.8,10,M30,4.03,0.83,Low,1,1,1.078,662.41,1.347,3.345,21.15,0
11.43,68.36,44.57,1378.19,1.4,-1.1,64.3,4,M40,24.14,1.05,Medium,2,2,1.1142,781.35,0.341,25.347,12.15,0
2.44,105.49,85.17,1918.57,54.1,39.8,60.5,7,M40,5.09,1.15,Medium,2,2,2.1292,257.4,7.62,5.853,36.18,2
6.95,67.39,84.2,3080.43,9.2,40.2,52.0,5,M40,4.8,1.18,Medium,2,2,2.105,468.36,1.804,5.664,31.3,0
0.19,115.22,22.58,3202.45,19.0,38.9,93.0,2,M30,0.8,0.77,Low,1,1,0.7527,21.89,9.048,0.616,54.78,1
3.74,6.79,35.45,1004.31,23.0,28.7,62.0,8,M20,8.25,0.64,Medium,0,2,1.7725,25.39,2.84,5.28,30.19,1
10.91,12.66,17.7,1671.28,42.5,12.0,39.0,2,M20,0.6,0.82,Low,0,1,0.885,138.12,20.238,0.492,12.48,2
14.88,6.24,48.35,1967.09,30.4,8.2,37.3,8,M40,12.47,0.64,Medium,2,2,1.2088,92.85,3.753,7.981,10.52,1
1.53,23.05,44.15,3326.98,50.9,-9.5,65.9,2,M20,12.64,0.46,Medium,0,2,2.2075,35.27,24.238,5.814,6.92,2
6.05,65.41,81.56,3478.6891000000005,5.1,40.0,59.2,5,M20,1.33,0.56,High,0,0,4.078,395.73,1.0,0.745,35.52,0
12.01,77.82,84.05,900.38,10.2,-4.8,20.6,4,M30,6.0,0.46,High,1,0,2.8017,934.62,2.488,2.76,3.13,0
3.1,6.42,37.6,2571.73,37.9,27.8,82.3,1,M20,20.8,0.5,Medium,0,2,1.88,19.9,34.455,10.4,39.34,1
8.35,113.57,46.8,1385.31,25.9,20.2,72.8,8,M20,11.56,0.3,Medium,0,2,2.34,948.31,3.198,3.468,29.27,1
11.01,101.22,81.18,127.57,22.9,21.6,69.6,10,M20,10.87,0.67,High,0,0,4.059,1114.43,2.267,7.283,28.95,1
9.26,36.3,73.57,131.46,6.0,45.6,25.2,3,M50,17.47,0.46,Medium,3,2,1.4714,336.14,1.935,8.036,16.53,0
2.86,10.19,5.67455,1665.92,67.3,-8.1,47.2,4,M20,17.87,0.69,Low,0,1,0.2837,29.14,16.415,12.33,5.62,2
5.36,21.22,32.21,1760.34,52.2,36.4,90.2,4,M40,19.05,1.07,Low,2,1,0.8052,113.74,12.732,20.384,50.87,2
11.77,16.11,40.85,176.74,10.0,-6.9,84.7,5,M20,20.76,0.69,Medium,0,2,2.0425,189.61,1.961,14.324,11.1,0
8.34,15.67,24.53,2435.55,5.8,-7.7,41.4,3,M40,5.81,1.25,Low,2,1,0.6133,130.69,1.871,7.262,5.09,0
0.17485,62.71,21.96,1099.61,73.1,15.8,31.8,9,M30,1.66,0.36,Low,1,1,0.732,10.96,8.033,0.598,11.38,2
11.43,30.26,8.21,2003.64,51.4,-6.2,53.7,4,M40,9.51,1.14,Low,2,1,0.2052,345.87,12.537,10.841,7.41,2
0.58,43.62,59.69,1123.12,31.9,37.3,46.7,10,M40,21.38,0.47,Low,2,1,1.4922,25.3,3.158,10.049,26.76,1
11.2,118.75,27.31,668.26,52.9,21.8,71.2,4,M30,1.95,1.23,Low,1,1,0.9103,1330.0,12.902,2.398,29.76,2
3.08,82.43,9.45,1484.39,57.0,-8.3,92.5,6,M50,14.4,0.45,Low,3,1,0.189,253.88,9.344,6.48,10.82,2
14.37,113.93,24.63,889.73,58.7,-7.6,47.2,8,M30,17.53,1.02,Low,1,1,0.821,1637.17,7.247,17.881,5.85,2
5.55,17.96,73.16,1918.32,36.4,26.8,24.7,7,M40,12.04,0.27,Medium,2,2,1.829,99.68,5.127,3.251,11.56,1
4.94,46.47,77.38,776.02,32.8,38.4,87.3,4,M30,6.38,0.89,High,1,0,2.5793,229.56,8.0,5.678,50.98,1
2.28,67.01,46.06,1828.58,1.8,16.3,22.8,4,M50,8.16,0.44,Low,3,1,0.9212,152.78,0.439,3.59,8.28,0
4.62,10.13,40.37,635.09,69.6,23.3,91.5,5,M40,1.79,0.94,Low,2,1,1.0092,46.8,13.647,1.683,39.62,2
13.16,1.5099,88.12,2381.31,45.6,38.0,69.8,10,M20,7.31,0.9,High,0,0,4.406,19.87,4.515,6.579,40.48,2
14.91505,80.78,22.05,2663.39,16.0,26.6,90.6,5,M30,1.11,1.22,Low,1,1,0.735,1204.84,3.137,1.354,42.22,1
5.56,77.38,23.31,475.34,69.1,3.5,35.0,1,M40,18.16,0.89,Low,2,1,0.5828,430.23,62.818,16.162,8.22,2
6.76,49.88,29.81,1690.53,68.7,26.8,23.1,8,M40,22.45,0.65,Low,2,1,0.7452,337.19,8.481,14.592,10.81,2
10.84,59.27,19.68,340.96,74.2,27.7,56.6,10,M50,15.84,0.41,Low,3,1,0.3936,642.49,7.347,6.494,27.0,2
13.3,50.44,37.25,2133.82,65.7,34.0,53.8,5,M20,16.42,0.92,High,0,0,1.8625,670.85,12.882,15.106,29.05,2
8.92,3.86,82.42,998.97,74.65050000000001,27.3,44.9,3,M30,11.8,0.33,High,1,0,2.7473,34.43,24.081,3.894,21.24,2
5.9,40.91,57.3,1893.92,19.1,48.2,91.8,3,M30,3.9,1.11,Medium,1,2,1.91,241.37,6.161,4.329,62.61,1
6.22,22.07,40.02,1859.37,63.3,1.8,81.7,4,M20,0.19,0.47,Medium,0,2,2.001,137.28,15.439,0.089,17.81,2
10.45,12.71,84.42,3242.8,61.9,47.1,69.6,7,M30,8.6,0.78,High,1,0,2.814,132.82,8.718,6.708,46.7,2
0.17485,114.85,9.12,1966.88,18.1,22.3,32.2,5,M30,18.79,0.86,Low,1,1,0.304,20.08,3.549,16.159,13.62,1
9.31,72.32,22.87,2082.19,8.3,30.3,75.1,1,M20,24.01,0.6,Medium,0,2,1.1435,673.3,7.545,14.406,37.78,0
5.36,87.71,53.1,1465.62,73.5,-4.0,74.5,5,M20,10.78,0.93,High,0,0,2.655,470.13,14.412,10.025,11.92,2
11.92,38.53,57.32,3326.87,22.9,12.8,51.9,5,M20,9.13,0.48,High,0,0,2.866,459.28,4.49,4.382,17.02,1
1.44,47.78,8.36,2742.43,65.4,36.2,89.4,6,M40,11.15,0.24,Low,2,1,0.209,68.8,10.721,2.676,50.24,2
8.84,29.19,39.26,1070.38,1.4,32.4,32.5,7,M30,10.69,1.26,Low,1,1,1.3087,258.04,0.197,13.469,17.03,0
7.24,12.54,60.18,2970.31,2.6,-7.6,40.1,5,M20,15.65,0.55,High,0,0,3.009,90.79,0.51,8.608,4.97,0
9.65,22.3,64.34,1570.15,35.5,22.8,24.7,2,M30,18.35,0.98,High,1,0,2.1447,215.2,16.905,17.983,10.57,1
1.02,95.9,59.24,2917.47,18.7,-4.7,79.7,2,M20,19.62,0.76,High,0,0,2.962,97.82,8.905,14.911,12.19,1
8.72,81.63,32.25,2897.82,52.0,49.7,66.6,4,M50,16.24,0.94,Low,3,1,0.645,711.81,12.683,15.266,46.42,2
8.44,66.08,12.95,742.16,42.9,43.8,43.6,1,M20,10.94,0.32,Low,0,1,0.6475,557.72,39.0,3.501,27.82,2
8.43,57.54,41.3,2483.88,6.7,-8.7,32.3,7,M40,23.75,0.77,Low,2,1,1.0325,485.06,0.944,18.288,3.65,0
9.07,110.77,15.94,1088.19,13.0,41.5,23.0,1,M30,17.78,0.63,Low,1,1,0.5313,1004.68,11.818,11.201,14.15,0
10.16,9.66,85.55,1111.48,29.7,45.2,32.5,3,M40,10.67,0.7,Medium,2,2,2.1388,98.15,9.581,7.469,21.19,1
12.08,34.39,45.39,1107.58,14.7,11.2,54.0,10,M20,11.16,1.26,Medium,0,2,2.2695,415.43,1.455,14.062,16.85,0
4.08,42.64,31.97,2566.93,59.6,33.2,38.5,7,M20,20.45,0.35,Medium,0,2,1.5985,173.97,8.394,7.157,20.48,2
12.38,94.11,70.14,881.41,31.8,16.5,39.4,6,M40,11.01,1.03,Medium,2,2,1.7535,1165.08,5.213,11.34,14.38,1
7.5,119.11,47.33,113.72415,7.9,29.3,85.7,7,M20,12.91,0.56,Medium,0,2,2.3665,893.32,1.113,7.23,42.25,0
1.2,29.64,31.35,2531.81,36.8,10.4,58.6,5,M40,7.29,0.52,Low,2,1,0.7838,35.57,7.216,3.791,17.81,1
0.93,105.04,74.02,682.03,7.7,9.4,74.7,8,M30,20.97,0.5,Medium,1,2,2.4673,97.69,0.951,10.485,21.96,0
5.05,99.84,78.71,455.24,10.5,15.5,22.7,6,M40,13.06,0.58,Medium,2,2,1.9678,504.19,1.721,7.575,8.06,0
11.78,27.73,62.21,907.55,18.7,-1.3,47.4,4,M50,13.81,0.59,Medium,3,2,1.2442,326.66,4.561,8.148,8.86,1
10.63,48.52,8.99,1391.66,64.6,39.9,55.9,1,M50,22.02,0.5,Low,3,1,0.1798,515.77,58.727,11.01,33.48,2
11.84,49.75,53.14,1718.08,69.4,10.9,34.0,2,M30,23.01,0.93,High,1,0,1.7713,589.04,33.048,21.399,10.51,2
7.78,117.41,69.88,251.54,62.1,14.0,29.0,6,M30,20.6,0.25,Medium,1,2,2.3293,913.45,10.18,5.15,9.86,2
6.63,22.53,16.6,3399.95,25.7,43.6,85.3,4,M50,1.63,0.57,Low,3,1,0.332,149.37,6.268,0.929,54.25,1
2.25,96.1,24.44,2534.61,21.2,19.8,90.5,3,M40,11.09,0.51,Low,2,1,0.611,216.22,6.839,5.656,36.02,1
4.96,40.77,80.01,1198.86,41.6,22.7,25.9,7,M20,8.58,1.03,High,0,0,4.0005,202.22,5.859,8.837,11.06,2
6.54,87.97,6.71,1183.57,54.4,47.4,46.2,7,M30,5.34,0.36,Low,1,1,0.2237,575.32,7.662,1.922,31.14,2
1.37,50.98,68.98,1625.04,74.5,43.2,91.9,2,M20,22.72,1.23,High,0,0,3.449,69.84,35.476,27.946,58.08,2
3.35,69.82,45.27,2229.23,10.7,0.2,26.2,8,M50,22.25,0.39,Low,3,1,0.9054,233.9,1.321,8.678,5.29,0
8.99,100.08,42.98,597.67,4.6,18.4,68.3,1,M20,11.63,0.61,Medium,0,2,2.149,899.72,4.182,7.094,26.23,0
11.05,96.7,5.67455,742.36,52.4,48.3,92.9,10,M30,3.36,0.42,Low,1,1,0.1892,1068.54,5.188,1.411,63.45,2
14.91505,104.1,74.65,3022.08,62.6,12.3,93.4,7,M40,0.33,0.52,Medium,2,2,1.8663,1552.66,8.817,0.172,30.17,2
14.0,8.09,35.59,971.27,63.6,12.3,55.3,10,M50,10.96,1.04,Low,3,1,0.7118,113.26,6.297,11.398,17.86,2
9.66,83.35,50.97,1392.66,51.2,1.7,32.2,1,M40,1.0,0.72,Medium,2,2,1.2742,805.16,46.545,0.72,6.99,2
6.35,17.66,62.57,3062.32,71.6,-3.1,35.2,3,M20,15.24,0.38,High,0,0,3.1285,112.14,23.097,5.791,5.95,2
9.56,50.48,64.72,2354.7,38.8,34.4,86.7,3,M30,15.21,0.25,High,1,0,2.1573,482.59,12.516,3.802,47.16,1
11.8,66.28,86.26,1261.82,68.6,36.2,88.4,10,M50,22.47,0.45,Medium,3,2,1.7252,782.1,6.792,10.112,49.68,2
1.82,48.93,50.16,2424.58,72.6,48.1,65.6,2,M40,4.75,1.24,Medium,2,2,1.254,89.05,34.571,5.89,44.67,2
6.18,62.83,38.98,166.92,63.7,36.4,77.5,10,M40,9.28,1.13,Low,2,1,0.9745,388.29,6.307,10.486,43.71,2
12.61,119.42545,86.06,2601.19,23.9,4.6,75.5,5,M40,21.49,0.68,High,2,0,2.1515,1505.95,4.686,14.613,18.57,1
5.79,17.09,59.58,1755.85,15.5,-7.6,69.6,4,M30,11.86,0.73,Medium,1,2,1.986,98.95,3.78,8.658,8.63,1
8.6,81.38,30.34,2864.82,41.6,49.1,82.0,6,M40,1.49,1.19,Low,2,1,0.7585,699.87,6.82,1.773,56.66,2
8.84,48.12,15.75,3345.77,34.5,10.4,71.4,2,M20,2.77,0.85,Low,0,1,0.7875,425.38,16.429,2.354,21.71,1
2.81,16.83,76.62,3247.68,66.0,8.7,60.1,4,M30,20.34,1.17,High,1,0,2.554,47.29,16.098,23.798,17.25,2
5.47,19.89,35.79,3191.5,8.4,44.4,37.8,7,M40,18.59,0.74,Low,2,1,0.8948,108.8,1.183,13.757,24.34,0
5.05,113.96,61.14,1841.38,20.1,25.1,75.8,1,M20,21.9,0.42,High,0,0,3.057,575.5,18.273,9.198,34.19,1
0.44,105.67,45.02,1324.48,56.6,2.9,55.5,3,M30,2.97,1.0,Low,1,1,1.5007,46.49,18.258,2.97,12.71,2
0.41,108.94,21.91,1681.12,8.0,43.3,42.1,1,M20,19.01,0.78,Low,0,1,1.0955,44.67,7.273,14.828,26.65,0
12.48,118.99,56.14,2445.65,24.7,49.6,80.1,2,M20,16.38,0.94,High,0,0,2.807,1485.0,11.762,15.397,55.75,1
4.13,25.79,10.16,3105.59,29.6,-4.8,72.3,9,M40,5.81,0.37,Low,2,1,0.254,106.51,3.253,2.15,10.99,1
7.8,43.3,40.13,803.75,47.1,41.7,90.3,10,M40,24.35,0.91,Low,2,1,1.0032,337.74,4.663,22.159,55.72,2
4.52,80.64,51.46,3221.86,12.7,13.4,32.4,5,M20,14.26,0.62,High,0,0,2.573,364.49,2.49,8.841,10.82,0
14.11,58.57,42.06,2871.61,64.7,21.4,68.7,4,M30,22.67,0.57,Medium,1,2,1.402,826.42,15.78,12.922,28.44,2
3.93,50.79,68.64,3428.11,34.1,44.9,38.3,4,M30,21.48,0.94,High,1,0,2.288,199.6,8.317,20.191,24.86,1
6.47,43.58,75.37,3092.86,68.9,48.4,87.8,8,M20,8.33,0.85,High,0,0,3.7685,281.96,8.506,7.08,60.06,2
13.1,71.66,70.56,1051.79,35.6,5.7,27.5,3,M40,13.4,0.91,Medium,2,2,1.764,938.75,11.484,12.194,7.07,1
12.64,69.5,8.3,460.25,21.4,2.8,69.2,4,M30,10.78,1.26,Low,1,1,0.2767,878.48,5.22,13.583,15.78,1
2.83,20.21,21.5,481.62,11.5,-5.2,79.3,2,M40,17.73,0.97,Low,2,1,0.5375,57.19,5.476,17.198,11.74,0
12.05,57.14,50.61,1090.16,1.4,23.7,46.6,6,M20,14.7,0.9,High,0,0,2.5305,688.54,0.23,13.23,20.36,0
6.9,66.86,84.46,2188.22,40.4,-9.2,91.6,9,M30,19.62,0.87,High,1,0,2.8153,461.33,4.44,17.069,9.89,2
7.27,68.86,75.97,2834.69,8.9,14.7,83.8,4,M20,0.29,0.64,High,0,0,3.7985,500.61,2.171,0.186,29.08,0
2.05,26.0,76.62,3157.45,30.0,-5.6,42.1,6,M20,17.19,1.12,High,0,0,3.831,53.3,4.918,19.253,6.06,1
1.25,89.33,30.77,2220.76,44.6,14.3,20.6,4,M40,7.98,0.62,Low,2,1,0.7692,111.66,10.878,4.948,7.07,2
10.93,4.0,41.5,119.15,21.4,-7.6,42.2,2,M20,5.61,0.97,Medium,0,2,2.075,43.72,10.19,5.442,5.23,1
7.47,43.22,45.01,733.48,14.0,40.1,41.1,6,M20,20.03,0.52,Medium,0,2,2.2505,322.85,2.295,10.416,24.7,0
6.58,93.85,18.38,439.07,58.3,2.6,86.7,7,M50,2.23,0.36,Low,3,1,0.3676,617.53,8.211,0.803,19.59,2
10.96,68.1,7.64,1335.3,71.1,9.7,92.5,4,M30,5.71,0.34,Low,1,1,0.2547,746.38,17.341,1.941,27.47,2
11.49,32.08,85.49,1804.59,8.4,42.2,25.3,7,M20,5.09,0.9,High,0,0,4.2745,368.6,1.183,4.581,15.74,0
2.43,83.7,25.46,247.55,12.5,34.8,55.3,8,M50,10.5,0.56,Low,3,1,0.5092,203.39,1.543,5.88,30.3,0
9.17,68.52,25.4,1284.83,72.0,3.1,61.1,3,M20,8.06,0.5,Low,0,1,1.27,628.33,23.226,4.03,14.11,2
2.07,95.75,12.09,709.21,3.8,-5.7,27.0,2,M40,18.01,0.85,Low,2,1,0.3022,198.2,1.81,15.308,3.86,0
11.28,88.47,83.92,2300.04,73.3,32.9,48.3,5,M20,17.48,0.23,High,0,0,4.196,997.94,14.373,4.02,25.55,2
9.87,73.6,54.28,1678.53,1.4,13.4,43.8,2,M30,8.14,0.47,Medium,1,2,1.8093,726.43,0.667,3.826,14.63,0
14.35,59.09,61.7,1784.08,65.7,36.0,60.2,10,M30,10.92,0.57,Medium,1,2,2.0567,847.94,6.505,6.224,33.71,2
1.08,16.85,82.48,1554.15,23.7,16.7,69.6,5,M20,5.2,0.98,High,0,0,4.124,18.2,4.647,5.096,25.54,1
0.9,32.1,34.38,3350.47,70.5,10.8,72.8,10,M30,16.77,0.8,Low,1,1,1.146,28.89,6.98,13.416,22.42,2
4.27,50.87,57.83,830.1,24.5,17.1,30.3,6,M30,9.91,1.14,Medium,1,2,1.9277,217.21,4.016,11.297,11.24,1
3.96,72.32,8.3,1856.66,49.4,34.9,81.0,8,M40,3.32,0.57,Low,2,1,0.2075,286.39,6.099,1.892,44.47,2
3.74,62.13,20.88,2602.46,6.9,44.1,70.9,6,M40,3.18,0.53,Low,2,1,0.522,232.37,1.131,1.685,45.45,0
13.6,35.29,75.66,1993.27,18.9,-7.0,86.7,4,M30,8.06,0.24,High,1,0,2.522,479.94,4.61,1.934,11.27,1
3.78,1.77,70.18,3258.67,58.3,21.4,53.7,3,M30,18.68,1.25,High,1,0,2.3393,6.69,18.806,23.35,22.23,2
4.12,60.05,34.8,1385.09,40.1,-8.0,87.0,2,M30,0.64,0.75,Low,1,1,1.16,247.41,19.095,0.48,10.44,2
11.4,34.99,37.03,1676.5,69.7,18.1,84.9,1,M40,6.44,0.75,Medium,2,2,0.9258,398.89,63.364,4.83,32.35,2
6.77,88.42,50.35,400.98,32.7,43.1,52.9,2,M30,4.06,1.22,Medium,1,2,1.6783,598.6,15.571,4.953,33.38,1
11.66,3.85,5.67455,2170.6,65.4,11.7,48.6,2,M30,23.91,0.52,Low,1,1,0.1892,44.89,31.143,12.433,15.41,2
1.03,70.59,25.51,1079.92,34.2,45.9,90.0,5,M30,17.63,0.57,Low,1,1,0.8503,72.71,6.706,10.049,59.31,1
7.34,113.04,22.7,645.05,73.5,27.8,73.6,9,M50,5.83,0.92,Low,3,1,0.454,829.71,8.077,5.364,35.18,2
0.55,21.75,26.29,1951.41,72.0,46.0,89.6,1,M30,5.19,1.06,Low,1,1,0.8763,11.96,65.455,5.501,59.14,2
0.99,57.13,73.5,1909.85,25.4,35.4,79.8,4,M20,21.45,0.97,High,0,0,3.675,56.56,6.195,20.806,44.21,1
13.6,11.88,28.77,357.96,66.6,-3.8,65.7,10,M30,4.76,1.07,Low,1,1,0.959,161.57,6.594,5.093,10.64,2
2.13,75.46,21.28,2473.93,63.7,3.9,28.7,7,M40,24.90505,0.83,Low,2,1,0.532,160.73,8.972,20.671,6.86,2
8.01,66.51,47.86,2220.83,16.6,13.7,41.9,10,M40,7.06,1.15,Low,2,1,1.1965,532.75,1.644,8.119,14.12,1
6.2,49.48,78.58,742.66,47.2,0.2,92.7,3,M40,2.11,0.81,Medium,2,2,1.9645,306.78,15.226,1.709,18.73,2
5.24,63.04,25.51,1696.08,6.4,19.7,44.0,8,M40,17.27,0.45,Low,2,1,0.6378,330.33,0.79,7.772,17.47,0
13.5,107.69,11.68,2549.1,62.9,18.3,27.0,3,M30,15.24,0.8,Low,1,1,0.3893,1453.82,20.29,12.192,10.34,2
0.38,24.36,35.29,1900.08,13.9,47.4,73.1,8,M30,24.90505,0.98,Low,1,1,1.1763,9.26,1.716,24.407,49.27,0
9.97,3.69,68.55,1444.66,6.2,16.0,75.1,2,M40,20.05,0.92,Medium,2,2,1.7138,36.79,2.952,18.446,27.04,0
14.45,103.54,51.81,1195.95,30.6,37.1,41.4,5,M20,10.72,0.47,High,0,0,2.5905,1496.15,6.0,5.038,23.64,1
8.42,69.68,74.43,2175.34,43.7,46.5,42.3,4,M30,16.92,0.25,High,1,0,2.481,586.71,10.659,4.23,28.13,2
14.06,106.99,86.57,3292.97,64.3,42.6,55.2,9,M40,20.45,0.48,High,2,0,2.1642,1504.28,7.066,9.816,34.56,2
0.83,72.04,72.38,2383.93,73.1,2.5,21.6,3,M40,12.84,1.28,Medium,2,2,1.8095,59.79,23.581,16.435,4.86,2
6.31,97.41,56.32,354.14,33.5,19.8,79.2,5,M50,6.82,0.4,Low,3,1,1.1264,614.66,6.569,2.728,31.52,1
3.94,52.13,46.93,1666.33,5.5,10.9,43.8,10,M50,5.25,0.71,Low,3,1,0.9386,205.39,0.545,3.728,13.53,0
10.98,90.23,8.41,3128.8,56.4,14.0,84.0,9,M20,7.38,0.9,Low,0,1,0.4205,990.73,6.198,6.642,28.56,2
14.72,109.65,88.67,421.17,42.8,11.6,80.2,6,M50,21.2,1.17,Medium,3,2,1.7734,1614.05,7.016,24.804,25.34,2
3.89,69.08,37.6,3462.18,34.1,39.6,69.6,2,M20,9.51,1.04,Medium,0,2,1.88,268.72,16.238,9.89,41.48,1
9.83,22.51,17.94,3326.84,23.9,17.1,44.4,1,M40,7.17,1.2,Low,2,1,0.4485,221.27,21.727,8.604,16.47,1
3.01,32.99,61.67,366.13,38.2,21.4,58.7,1,M20,20.15,0.86,High,0,0,3.0835,99.3,34.727,17.329,24.3,1
8.5,24.64,29.16,3273.61,26.1,48.9,53.4,7,M30,0.8,1.15,Low,1,1,0.972,209.44,3.676,0.92,36.79,1
